,mention,obj,prob,pmid
67,anti-VEGF,gene,0.976,35416615
68,patients,species,0.9316,35416615
69,nAMD,disease,1.0,35416615
70,DME,disease,1.0,35416615
71,CRVO,disease,1.0,35416615
72,VEGF,gene,0.927,35416615
73,patients,species,0.9893,35416615
74,patients,species,0.9746,35416615
75,macular oedema,disease,1.0,35416615
76,nAMD,disease,1.0,35416615
77,DME,disease,1.0,35416615
78,CRVO,disease,1.0,35416615
79,VEGF,gene,0.6494,35416615
80,ranibizumab,gene,0.878,35416615
81,aflibercept,gene,0.9697,35416615
82,nAMD,disease,1.0,35416615
83,DME,disease,1.0,35416615
84,CRVO,disease,1.0,35416615
85,nAMD,disease,1.0,35416615
86,DME,disease,1.0,35416615
87,CRVO,disease,1.0,35416615
88,Exogeneous Endophthalmitis,disease,1.0,35413214
89,exogeneous endophthalmitis,disease,1.0,35413214
90,man,species,0.9277,35413214
91,decreased vision,disease,0.9414,35413214
92,aflibercept,gene,0.985,35413214
93,anterior chamber cells,cell_type,0.595,35413214
94,intraretinal hemorrhages,disease,0.999,35413214
95,Roth,disease,0.5146,35413214
96,methicillin-sensitive coagulase-negative Staphylococcus,cell_line,0.8374,35413214
97,methicillin,drug,0.999,35413214
98,coagulase,gene,0.9224,35413214
99,Staphylococcus,species,0.5166,35413214
100,post-injection endophthalmitis,disease,0.9995,35413214
101,Roth,DNA,0.433,35413214
102,bacterial endophthalmitis,disease,1.0,35413214
103,Aflibercept,gene,0.9146,35412227
104,Diabetic Macular Edema,disease,1.0,35412227
105,aflibercept,gene,0.974,35412227
106,AFL,gene,0.63,35412227
107,patients,species,0.944,35412227
108,diabetic macular edema,disease,1.0,35412227
109,DME,disease,1.0,35412227
110,patients,species,0.947,35412227
111,DME,disease,1.0,35412227
112,Patients,species,0.9644,35412227
113,patients,species,0.974,35412227
114,Patients,species,0.9805,35412227
115,AFL,drug,0.761,35412227
116,DME,disease,0.9995,35412227
117,AFL,drug,0.9478,35412227
118,Anti-Vascular Endothelial Growth Factor,gene,0.99,35407439
119,anti-vascular endothelial growth factor,gene,0.9854,35407439
120,anti-VEGF,gene,0.9917,35407439
121,age-related macular degeneration,disease,1.0,35407439
122,AMD,disease,1.0,35407439
123,aflibercept,gene,0.953,35407439
124,ranibizumab,gene,0.6533,35407439
125,brolucizumab,gene,0.713,35407439
126,IVI,DNA,0.639,35407439
127,Aflibercept,gene,0.959,35407439
128,brolucizumab,gene,0.633,35407439
129,AMD,disease,1.0,35407439
130,aflibercept,gene,0.99,35407439
131,anti-VEGF,gene,0.9644,35396574
132,neovascular age-related macular degeneration,disease,1.0,35396574
133,nAMD,disease,1.0,35396574
134,AMD,disease,0.9995,35396574
135,patients,species,0.995,35396574
136,ranibizumab,gene,0.8037,35396574
137,aflibercept,gene,0.986,35396574
138,patients,species,0.9814,35396574
139,patients,species,0.9814,35396574
140,polypoidal choroidal vasculopathy,disease,1.0,35391819
141,polypoidal choroidal vasculopathy,disease,1.0,35391819
142,PCV,disease,1.0,35391819
143,patients,species,0.9814,35391819
144,anti-,gene,0.5967,35391819
145,vascular endothelial growth factors,gene,0.892,35391819
146,VEGF,gene,0.9966,35391819
147,bevacizumab,gene,0.876,35391819
148,ranibizumab,gene,0.7495,35391819
149,aflibercept,gene,0.9233,35391819
150,ziv-aflibercept,gene,0.9746,35391819
151,verteporfin,drug,0.998,35391819
152,patients,species,0.9814,35391819
153,BCVA,DNA,0.4998,35391819
154,PED,DNA,0.56,35391819
155,anti-VEGF,gene,0.879,35391819
156,PCV,disease,1.0,35391819
157,polypoidal choroidal vasculopathy,disease,1.0,35391816
158,ziv-aflibercept,gene,0.9873,35391816
159,ziv-aflibercept,gene,0.9897,35391816
160,polypoidal choroidal vasculopathy,disease,1.0,35391816
161,PCV,disease,1.0,35391816
162,polyp,disease,0.969,35391816
163,indocyanine green,drug,0.9927,35391816
164,ICGA,drug,0.975,35391816
165,patients,species,0.97,35391816
166,PCV,disease,1.0,35391816
167,Patients,species,0.9756,35391816
168,branching,DNA,0.486,35391816
169,polyps,disease,0.9863,35391816
170,pigment epithelial detachment,disease,1.0,35391816
171,PED,disease,0.997,35391816
172,polyps,disease,0.9985,35391816
173,polyp,disease,0.988,35391816
174,PED,disease,0.916,35391816
175,IVZ,drug,0.9683,35391816
176,PCV,disease,0.7954,35391816
177,autosomal recessive best vitelliform macular dystrophy,disease,1.0,35391813
178,autosomal recessive Best vitelliform macular dystrophy,disease,1.0,35391813
179,BEST1,gene,0.97,35391813
180,cystoid macular edema,disease,1.0,35391813
181,aflibercept,gene,0.957,35391813
182,BEST1,gene,0.9653,35391813
183,blurry andreduced vision,disease,0.9966,35391813
184,vitelliform macular lesions,disease,1.0,35391813
185,patient,species,0.989,35391813
186,BEST1 gene,gene,0.993,35391813
187,aflibercept,gene,0.9546,35391813
188,patient,species,0.984,35391813
189,RPE,disease,0.8706,35391813
190,Cystoid macular edema,disease,1.0,35391813
191,vision,disease,0.98,35391813
192,aflibercept,gene,0.989,35391813
193,c.695T,RNA,0.4954,35391813
194,exon 6,DNA,0.722,35391813
195,BEST1 mutations,gene,0.8784,35391813
196,Human Genome,DNA,0.7056,35391813
197,Human,species,0.996,35391813
198,cystoid macular edema,disease,1.0,35391813
199,transferrin,DNA,0.514,35388745
200,transferrin receptor,gene,0.996,35388745
201,Glioblastoma,disease,1.0,35388745
202,GBM,disease,1.0,35388745
203,brain cancer,disease,1.0,35388745
204,brain tumors,disease,1.0,35388745
205,GBM,disease,1.0,35388745
206,bevacizumab,gene,0.85,35388745
207,aflibercept,gene,0.976,35388745
208,GBM,disease,1.0,35388745
209,patients,species,0.996,35388745
210,transferrin receptor,gene,0.997,35388745
211,TfR,gene,0.996,35388745
212,mouse TfR,gene,0.9766,35388745
213,mouse,species,0.9956,35388745
214,transferrin,gene,0.9976,35388745
215,Tf,gene,0.9995,35388745
216,TfR,gene,0.97,35388745
217,vascular endothelial growth factor (,gene,0.995,35388745
218,VEGF,gene,0.6265,35388745
219,TfR-,gene,0.9976,35388745
220,TfR,gene,0.932,35388745
221,human umbilical vein endothelial cell,cell_line,0.914,35388745
222,human,species,0.9756,35388745
223,VEGF-Trap,gene,0.98,35388745
224,TfR,gene,0.957,35388745
225,VEGF-Trap,gene,0.9897,35388745
226,moAb4,gene,0.944,35388745
227,TfR,gene,0.992,35388745
228,VEGF-Trap,gene,0.945,35388745
229,moAb4,gene,0.9937,35388745
230,VEGF-Trap,gene,0.9863,35388745
231,mice,species,0.973,35388745
232,VEGF-Trap,gene,0.9775,35388745
233,moAb4,gene,0.992,35388745
234,VEGF,gene,0.9966,35388745
235,U,cell_type,0.908,35388745
236,U-87 MG GBM tumors,disease,0.9995,35388745
237,mouse,species,0.868,35388745
238,Hypotony,disease,1.0,35385431
239,hypotony,disease,0.9995,35385431
240,choroidal detachments,disease,1.0,35385431
241,glaucoma,disease,0.9966,35385431
242,C3F8,drug,0.999,35385431
243,cycloplegia,disease,1.0,35385431
244,PATIENT,species,0.938,35385431
245,Patient,species,0.877,35385431
246,central retinal vein occlusion,disease,1.0,35385431
247,hyphema,disease,1.0,35385431
248,vitreous hemorrhage,disease,1.0,35385431
249,neovascular glaucoma,disease,1.0,35385431
250,aflibercept,gene,0.989,35385431
251,hypotony,disease,1.0,35385431
252,inflammation,disease,0.9995,35385431
253,choroidal detachments,disease,1.0,35385431
254,corneal edema,disease,1.0,35385431
255,perfluorpropane,drug,0.999,35385431
256,C3F8,drug,0.9995,35385431
257,hypotony,disease,1.0,35385431
258,choroid detachment,disease,1.0,35385431
259,hypotony,disease,1.0,35385431
260,choroidal detachment,disease,1.0,35385431
261,hypotony,disease,1.0,35385431
262,patients,species,0.9775,35384550
263,RAS,gene,0.998,35384550
264,colorectal cancer,disease,0.981,35384550
265,CRC,disease,1.0,35384550
266,anti-,gene,0.8115,35384550
267,epidermal growth factor receptor,gene,0.9,35384550
268,EGFR,gene,0.9976,35384550
269,patients,species,0.9375,35384550
270,CRC,disease,0.999,35384550
271,Patients,species,0.9297,35384550
272,CRC,disease,0.998,35384550
273,RAS,gene,0.994,35384550
274,leucovorin,drug,0.9995,35384550
275,5-fluorouracil,drug,0.9995,35384550
276,oxaliplatin,drug,0.9995,35384550
277,EGFR,gene,0.66,35384550
278,irinotecan,drug,0.9985,35384550
279,patients,species,0.9756,35384550
280,patients,species,0.985,35384550
281,CRC,disease,0.548,35384550
282,FOLFOX,drug,0.813,35384550
283,panitumumab,gene,0.853,35384550
284,patients,species,0.9824,35384550
285,bevacizumab,gene,0.808,35384550
286,aflibercept beta,gene,0.9854,35384550
287,bevacizumab,gene,0.6665,35384550
288,aflibercept beta,gene,0.9927,35384550
289,CRC,disease,0.998,35384550
290,anti-EGFR antibodies,gene,0.9004,35384550
291,aflibercept,gene,0.992,35382900
292,aflibercept,gene,0.9883,35382900
293,aflibercept,gene,0.9814,35382900
294,PFS,DNA,0.522,35382900
295,Neovascular Age-Related Macular Degeneration,disease,1.0,35368240
296,nAMD,disease,1.0,35368240
297,Neovascular age-related macular degeneration,disease,1.0,35368240
298,nAMD,disease,1.0,35368240
299,visual loss,disease,1.0,35368240
300,anti-vascular endothelial growth factor,gene,0.9434,35368240
301,anti-VEGF,gene,0.887,35368240
302,nAMD,disease,1.0,35368240
303,anti-VEGF,gene,0.7095,35368240
304,ranibizumab,gene,0.7285,35368240
305,aflibercept,gene,0.9683,35368240
306,brolucizumab,gene,0.7695,35368240
307,bevacizumab,gene,0.6987,35368240
308,nAMD,disease,1.0,35368240
309,VEGF,gene,0.8726,35368240
310,nAMD,disease,1.0,35368240
311,patients,species,0.9795,35368240
312,patients,species,0.989,35368240
313,nAMD,disease,1.0,35368240
314,geographic atrophy,disease,0.9673,35368240
315,patients,species,0.9834,35368240
316,angiopoietin,gene,0.995,35368240
317,nAMD,disease,1.0,35368240
318,nAMD,disease,1.0,35368240
319,retinal cells,cell_type,0.7783,35368240
320,anti-VEGF proteins,gene,0.9824,35368240
321,patients,species,0.9907,35366082
322,patients,species,0.963,35365223
323,diabetic macular BACKGROUND,disease,1.0,35365223
324,patients,species,0.9756,35365223
325,diabetic macular oedema,disease,1.0,35365223
326,DMO,disease,0.9863,35365223
327,ranibizumab,gene,0.7656,35365223
328,aflibercept,gene,0.9214,35365223
329,patients,species,0.9775,35365223
330,DMO,disease,1.0,35365223
331,ranibizumab,gene,0.875,35365223
332,aflibercept,gene,0.9414,35365223
333,patients,species,0.97,35365223
334,aflibercept,gene,0.975,35365223
335,ranibizumab,gene,0.8745,35365223
336,aflibercept,gene,0.965,35365223
337,DMO,disease,1.0,35365223
338,vascular endothelial growth factor,gene,0.8965,35357641
339,myopic choroidal neovascularization,disease,0.9414,35357641
340,mCNV,disease,1.0,35357641
341,patients,species,0.9883,35357641
342,vascular endothelial growth factor,gene,0.8438,35357641
343,VEGF,gene,0.997,35357641
344,patients,species,0.974,35357641
345,mCNV,disease,0.9995,35357641
346,bevacizumab,gene,0.874,35357641
347,ranibizumab,gene,0.7915,35357641
348,aflibercept,gene,0.96,35357641
349,patients,species,0.9814,35357641
350,BCVA,cell_type,0.4265,35357641
351,SFCT,DNA,0.4897,35357641
352,IVR,cell_line,0.4866,35357641
353,IVA,disease,0.998,35357641
354,anti-VEGFs,gene,0.9243,35357641
355,patients,species,0.97,35357641
356,mCNV,disease,1.0,35357641
357,anti-VEGF,gene,0.9634,35357641
358,patients,species,0.986,35357641
359,aflibercept,gene,0.971,35357637
360,ranibizumab,gene,0.8545,35357637
361,patients,species,0.9785,35357637
362,superotemporal quadrant,DNA,0.549,35357637
363,age-related macular degeneration,disease,1.0,35357637
364,diabetic,disease,1.0,35357637
365,macular edema,disease,1.0,35357637
366,lens,DNA,0.4517,35357637
367,patient,species,0.9897,35357637
368,superotemporal quadrant,DNA,0.497,35357637
369,Brolucizumab,gene,0.6353,35348844
370,patients,species,0.987,35348844
371,choroidal neovascularization,disease,1.0,35348844
372,choroidal neovascularization,disease,1.0,35348844
373,age-related macular degeneration,disease,1.0,35348844
374,patients,species,0.9883,35348844
375,anti-VEGF antibody,gene,0.992,35348844
376,brolucizumab,gene,0.6553,35348844
377,patients,species,0.9756,35348844
378,aflibercept,gene,0.933,35348844
379,bevacizumab,gene,0.661,35348844
380,patients,species,0.982,35348844
381,anti-VEGF,gene,0.983,35348844
382,retinal fluid,disease,0.997,35348844
383,aflibercept,gene,0.985,35348844
384,bevacizumab,gene,0.8184,35348844
385,brolucizumab,gene,0.838,35348844
386,brolucizumab,gene,0.89,35348844
387,brolucizumab,gene,0.785,35348844
388,brolucizumab,gene,0.6865,35348844
389,intra-and subretinal fluid,disease,0.962,35348844
390,brolucizumab,gene,0.9014,35348844
391,intraocular inflammation,disease,1.0,35348844
392,retinal vasculitis,disease,1.0,35348844
393,brolucizumab,gene,0.878,35348844
394,Brolucizumab,gene,0.84,35348844
395,patients,species,0.9834,35348844
396,patients,species,0.9834,35348844
397,brolucizumab,gene,0.6836,35348844
398,patients,species,0.985,35348844
399,VEGF,gene,0.617,35348844
400,aflibercept,gene,0.9917,35344080
401,FOLFIRI,drug,0.8706,35344080
402,aflibercept,gene,0.9907,35344080
403,fluorouracil,drug,0.9995,35344080
404,leucovorin,drug,0.999,35344080
405,irinotecan,drug,0.999,35344080
406,FOLFIRI,drug,0.951,35344080
407,patients,species,0.945,35344080
408,metastatic colorectal cancer,disease,1.0,35344080
409,mCRC,disease,1.0,35344080
410,oxaliplatin,drug,0.9995,35344080
411,Patients,species,0.952,35344080
412,mCRC,disease,0.9927,35344080
413,aflibercept,gene,0.9727,35344080
414,FOLFIRI,drug,0.8857,35344080
415,oxaliplatin,drug,0.999,35344080
416,patients,species,0.989,35344080
417,right,DNA,0.5024,35344080
418,factor1,gene,0.826,35344080
419,patients,species,0.975,35344080
420,adverse,disease,0.7583,35344080
421,pneumonia,disease,1.0,35344080
422,neutropenia,disease,1.0,35344080
423,nausea,disease,0.999,35344080
424,Right,DNA,0.57,35344080
425,bevacizumab,gene,0.875,35344080
426,Aflibercept,gene,0.966,35344080
427,FOLFIRI,drug,0.894,35344080
428,patients,species,0.9478,35344080
429,mCRC,disease,0.9976,35344080
430,Aflibercept,gene,0.9907,35343355
431,Dexamethasone,drug,0.999,35343355
432,anti-vascular endothelial growth factors,gene,0.995,35343355
433,anti-VEGF,gene,0.991,35343355
434,patients,species,0.9775,35343355
435,choroidal neovascularization,disease,1.0,35343355
436,CNV,disease,1.0,35343355
437,age-related macular degeneration,disease,1.0,35343355
438,AMD,disease,1.0,35343355
439,patients,species,0.992,35343355
440,VEGF,gene,0.507,35343355
441,patients,species,0.9834,35343355
442,VEGF,gene,0.817,35343355
443,anti-VEGF,gene,0.971,35343355
444,patients,species,0.9893,35343355
445,aflibercept,gene,0.995,35343355
446,dexamethasone,drug,0.995,35343355
447,Dexamethasone,drug,0.999,35343355
448,aflibercept,gene,0.9873,35343355
449,poly(ethylene glycol)-co-(L-lactic acid) diacrylate,drug,0.9995,35343355
450,PEG-,drug,0.9995,35343355
451,PLLA-DA,drug,0.9966,35343355
452,N-isopropylacrylamide,drug,0.99,35343355
453,NIPAAm,drug,0.998,35343355
454,aflibercept,gene,0.9917,35343355
455,dexamethasone,drug,0.989,35343355
456,aflibercept,gene,0.994,35343355
457,AFL,gene,0.856,35343355
458,dexamethasone,drug,0.9927,35343355
459,DEX,drug,0.9937,35343355
460,aflibercept,gene,0.989,35343355
461,aflibercept,gene,0.991,35343355
462,dexamethasone,drug,0.996,35343355
463,anti-VEGF,gene,0.924,35343355
464,wet AMD,disease,0.9995,35343355
465,patients,species,0.996,35343355
466,Aflibercept,gene,0.9873,35329868
467,Bevacizumab,gene,0.781,35329868
468,aflibercept,gene,0.991,35329868
469,bevacizumab,gene,0.7446,35329868
470,patients,species,0.9478,35329868
471,neovascular age-related macular degeneration,disease,0.9995,35329868
472,AMD,disease,1.0,35329868
473,patients,species,0.9644,35329868
474,neovascular AMD,disease,0.9995,35329868
475,aflibercept,gene,0.962,35329868
476,bevacizumab,gene,0.8486,35329868
477,aflibercept,gene,0.993,35329868
478,aflibercept,gene,0.969,35329868
479,intraretinal fluid,disease,0.956,35329868
480,bevacizumab,gene,0.634,35329868
481,geographic atrophy,disease,1.0,35329868
482,disciform scar,disease,1.0,35329868
483,polypoidal choroidal vasculopathy,disease,1.0,35329868
484,aflibercept,gene,0.9927,35329868
485,neovascular AMD,disease,1.0,35329868
486,anti-vascular endothelial growth factor,gene,0.982,35323843
487,VEGF,gene,0.9976,35323843
488,macular edema,disease,0.9995,35323843
489,hemiretinal vein occlusion,disease,1.0,35323843
490,HRVO,disease,1.0,35323843
491,central retinal vein occlusion,disease,1.0,35323843
492,CRVO,disease,1.0,35323843
493,VEGF,gene,0.631,35323843
494,macular edema,disease,1.0,35323843
495,participants,species,0.9487,35323843
496,HRVO,disease,1.0,35323843
497,participants,species,0.9717,35323843
498,CRVO,disease,1.0,35323843
499,PARTICIPANTS,species,0.642,35323843
500,Retinal Vein Occlusion,disease,1.0,35323843
501,participants,species,0.955,35323843
502,macular edema,disease,1.0,35323843
503,HRVO,disease,1.0,35323843
504,CRVO,disease,1.0,35323843
505,aflibercept,gene,0.989,35323843
506,bevacizumab,gene,0.8833,35323843
507,patients,species,0.971,35323843
508,patients,species,0.9844,35323843
509,participants,species,0.9746,35323843
510,HRVO,disease,1.0,35323843
511,CRVO,disease,1.0,35323843
512,patients,species,0.9673,35323843
513,CRVO,disease,1.0,35323843
514,patients,species,0.963,35323843
515,HRVO,disease,0.9995,35323843
516,HRVO,disease,1.0,35323843
517,CRVO,disease,1.0,35323843
518,CRVO,disease,0.9995,35323843
519,HRVO,disease,0.9995,35323843
520,CRVO,disease,1.0,35323843
521,macular edema,disease,1.0,35323843
522,HRVO,disease,1.0,35323843
523,participants,species,0.9644,35323843
524,HRVO,disease,1.0,35323843
525,CRVO,disease,0.9995,35323843
526,macular edema,disease,1.0,35323843
527,CRVO,disease,1.0,35323843
528,HRVO,disease,1.0,35323843
529,CRVO,disease,1.0,35323843
530,macular edema,disease,0.9995,35323843
531,HRVO,disease,1.0,35323843
532,VEGF,gene,0.5933,35323843
533,submacular haemorrhage,disease,1.0,35322568
534,submacular haemorrhage,disease,1.0,35322568
535,SMH,disease,1.0,35322568
536,loss of vision,disease,0.996,35322568
537,neovascular age-related macular degeneration,disease,1.0,35322568
538,nAMD,disease,1.0,35322568
539,vascular endothelial growth factor,gene,0.9985,35322568
540,VEGF,gene,0.9985,35322568
541,VEGF,gene,0.994,35322568
542,ranibizumab,gene,0.949,35322568
543,aflibercept,gene,0.9644,35322568
544,bevacizumab,gene,0.8237,35322568
545,nAMD,disease,1.0,35322568
546,Retinal Blindness,disease,1.0,35322568
547,SMH,disease,1.0,35322568
548,loss of vision,disease,0.995,35322568
549,patients,species,0.9834,35322568
550,IVT,disease,0.985,35322568
551,SMH,disease,1.0,35322568
552,loss of vision,disease,0.9995,35322568
553,SMH,disease,0.999,35322568
554,loss of vision,disease,0.998,35322568
555,patients,species,0.994,35322568
556,SMH,drug,0.952,35322568
557,patient,species,0.988,35322568
558,SMH,disease,1.0,35322568
559,Submacular haemorrhage,disease,1.0,35322568
560,SMH,disease,1.0,35322568
561,loss of vision,disease,0.9995,35322568
562,nAMD,disease,1.0,35322568
563,Bevacizumab,gene,0.7324,35317911
564,blinding eye disease,disease,1.0,35317911
565,Anti-vascular endothelial growth factor,gene,0.9956,35317911
566,blindness,disease,0.9995,35317911
567,Aflibercept,gene,0.988,35317911
568,Eylea; Bayer,gene,0.752,35317911
569,ranibizumab,gene,0.876,35317911
570,Bevacizumab,gene,0.9214,35317911
571,Avastin,gene,0.6997,35317911
572,cancer,disease,1.0,35317911
573,retinal vascular disease,disease,1.0,35317911
574,Bevacizumab,gene,0.864,35317911
575,PBS,cell_type,0.5923,35317911
576,patient,species,0.964,35317911
577,bevacizumab,gene,0.766,35317911
578,Macular Edema,disease,1.0,35313554
579,anti-VEGF,gene,0.7197,35313554
580,patients,species,0.9565,35313554
581,macular edema,disease,1.0,35313554
582,retinal vein occlusion,disease,1.0,35313554
583,RVO,disease,1.0,35313554
584,ME,disease,0.9995,35313554
585,PATIENTS,species,0.913,35313554
586,patients,species,0.9863,35313554
587,RVO,disease,1.0,35313554
588,ME,disease,0.9995,35313554
589,anti-VEGF,gene,0.9316,35313554
590,patients,species,0.9795,35313554
591,fluorescein,drug,0.922,35313554
592,anti-VEGF antibodies,gene,0.945,35313554
593,Lucentis,gene,0.8926,35313554
594,Aflibercept,gene,0.933,35313554
595,dexamethasone,drug,0.9946,35313554
596,Ozurdex,drug,0.996,35313554
597,serous retinal detachment,disease,1.0,35313554
598,SRD,disease,1.0,35313554
599,HRD,DNA,0.752,35313554
600,VEGF,gene,0.9297,35313554
601,RVO,disease,0.9995,35313554
602,ME,disease,0.979,35313554
603,VEGF,gene,0.815,35313554
604,SRD,disease,1.0,35313554
605,HRD,disease,1.0,35313554
606,Aflibercept,gene,0.968,35310546
607,aflibercept,gene,0.995,35310546
608,diabetic macular edema,disease,0.8936,35310546
609,DME,disease,1.0,35310546
610,diabetic,disease,1.0,35310546
611,patients,species,0.987,35310546
612,DME,disease,1.0,35310546
613,aflibercept,gene,0.994,35310546
614,aflibercept,gene,0.981,35310546
615,Participants,species,0.9243,35310546
616,DME,disease,1.0,35310546
617,aflibercept,gene,0.9824,35310546
618,macular edema,disease,1.0,35310546
619,aflibercept,gene,0.9595,35310546
620,vitrectomized,disease,0.9834,35310546
621,intraretinal fluid,disease,0.9087,35303285
622,IRF,disease,0.861,35303285
623,subretinal fluid,disease,0.982,35303285
624,SRF,disease,0.979,35303285
625,patients,species,0.9585,35303285
626,neovascular age-related macular degeneration,disease,1.0,35303285
627,nAMD,disease,1.0,35303285
628,aflibercept,gene,0.9297,35303285
629,IVT,drug,0.9375,35303285
630,patients,species,0.9844,35303285
631,nAMD,disease,1.0,35303285
632,IRF,gene,0.821,35303285
633,patients,species,0.9893,35303285
634,IRF,gene,0.894,35303285
635,SRF,gene,0.923,35303285
636,IRF,gene,0.9863,35303285
637,SRF,gene,0.9277,35303285
638,IRF,gene,0.959,35303285
639,SRF,gene,0.997,35303285
640,IRF,gene,0.9946,35303285
641,patients,species,0.975,35303285
642,nAMD,disease,1.0,35303285
643,SRF,gene,0.8667,35303285
644,IRF,gene,0.898,35303285
645,IRF,gene,0.9663,35303285
646,SRF,gene,0.955,35303285
647,IRF,gene,0.9946,35303285
648,SRF,gene,0.9946,35303285
649,Neovascular Age-Related Macular Degeneration,disease,1.0,35303285
650,BROLUCIZUMAB,drug,0.9927,35300497
651,NEOVASCULAR Vascular endothelial growth factor,gene,0.9214,35300497
652,VEGF,gene,0.993,35300497
653,choroidal neovascularization,disease,0.997,35300497
654,age-related macular degeneration,disease,1.0,35300497
655,choroidal neovascularization,disease,0.999,35300497
656,vascular endothelial growth factor,gene,0.9985,35300497
657,VEGF receptor-2,gene,0.854,35300497
658,vascular endothelial cells,cell_type,0.898,35300497
659,neovascular age-related macular degeneration,disease,1.0,35300497
660,VEGF,gene,0.995,35300497
661,patient,species,0.987,35300497
662,brolucizumab,gene,0.949,35300497
663,RTH 258,gene,0.715,35300497
664,ESBA 1008,gene,0.831,35300497
665,humanized,species,0.599,35300497
666,VEGF-A,gene,0.995,35300497
667,brolucizumab,gene,0.758,35300497
668,aflibercept,gene,0.961,35300497
669,patients,species,0.9883,35300497
670,patients,species,0.9863,35300497
671,Faricimab,gene,0.542,35294428
672,age-related macular degeneration,disease,1.0,35294428
673,diabetic macular,disease,1.0,35294428
674,macular macroaneurysm,disease,1.0,35282602
675,macular macroaneurysm,disease,1.0,35282602
676,MAR,disease,1.0,35282602
677,patient,species,0.9385,35282602
678,Coats disease,disease,1.0,35282602
679,man,species,0.849,35282602
680,decrease of vision,disease,0.961,35282602
681,aneurysms,disease,1.0,35282602
682,vascular telangiectasias,disease,1.0,35282602
683,Coats disease,disease,1.0,35282602
684,CD,disease,1.0,35282602
685,fluorescein,drug,0.9907,35282602
686,macular edema,disease,1.0,35282602
687,vessels abnormalities,disease,0.999,35282602
688,non,DNA,0.4805,35282602
689,blood flow abnormalities,disease,0.768,35282602
690,aflibercept,gene,0.978,35282602
691,macular edema,disease,1.0,35282602
692,macular macroaneurysm,disease,0.9956,35282602
693,intravitreal hemorrhage,disease,0.9043,35282602
694,macular edema,disease,1.0,35282602
695,CD,disease,,35282602
696,patient,species,0.933,35282602
697,anti-VEGF,gene,0.9746,35282602
698,macular edema,disease,1.0,35282602
699,telomerase,gene,0.87,35281880
700,human,species,0.9277,35281880
701,CD4/,cell_line,0.825,35281880
702,CD4,gene,0.989,35281880
703,CD8 T-cell,cell_line,0.753,35281880
704,CD8,gene,0.997,35281880
705,cancer cells,cell_type,0.543,35281880
706,cancer,disease,0.9985,35281880
707,tumor,disease,0.787,35281880
708,patients,species,0.961,35281880
709,metastatic colorectal cancer,disease,1.0,35281880
710,recurrent or metastatic colorectal cancer,disease,0.994,35281880
