,node,betweenness,gene
704,CXCL1,0.005627173901044672,CXCL1
425,CD86,0.0056035752848748585,CD86
163,histone H3,0.005565134215498432,histone H3
246,CTCF,0.005412167420052967,CTCF
464,H3K4,0.0054047706717913575,H3K4
765,AP-1,0.0053607768844690885,AP-1
166,H3K27me3,0.0053225653347900815,H3K27me3
917,c-Myc,0.005318384127074606,c-Myc
1373,ABL,0.005289087728196726,ABL
361,IDH1/2,0.005273502322601239,IDH1/2
118,TREM2,0.005153054126607432,TREM2
1857,granulocyte-macrophage colony-stimulating factor,0.005060700154228649,granulocyte-macrophage colony-stimulating factor
65,PKM2,0.0050310269494644524,PKM2
22,CD8(+,0.00501515632281657,CD8(+
2665,E3 ubiquitin ligase,0.004982403118644435,E3 ubiquitin ligase
369,PAX5,0.004962533354550613,PAX5
1853,ICAM-1,0.004879078875407919,ICAM-1
1038,MCP-1,0.004852408952223482,MCP-1
758,BCAT1,0.004716956142802802,BCAT1
1101,MCL1,0.004652213766783411,MCL1
795,IL-12,0.004524920395435161,IL-12
899,Cxcl9,0.004438574906598811,Cxcl9
1629,LC3,0.004280193869149026,LC3
311,BRCA1,0.004162279548693193,BRCA1
3792,AAVS1,0.004155794067520122,AAVS1
1717,Meis1,0.004101141554524155,Meis1
401,Trem2,0.0040841887733745995,Trem2
1175,ATF4,0.004039372086104049,ATF4
1234,pyruvate dehydrogenase,0.0039780385742359025,pyruvate dehydrogenase
1275,CD19,0.003942354945376497,CD19
359,JAK2,0.003940053789734959,JAK2
951,Ccr2,0.003818188760343201,Ccr2
772,IL-18,0.003731176178970905,IL-18
1951,miR-21,0.0036417466839234513,miR-21
1083,P53,0.0036347232163378065,P53
226,DNMT3A,0.003617789938378644,DNMT3A
452,IL4,0.0035682320497547088,IL4
356,STAT1,0.00355392843333242,STAT1
204,F4/80,0.0035496775562784814,F4/80
1597,interleukin-6,0.003538586433120645,interleukin-6
135,Pten,0.003529822568258832,Pten
410,LXR,0.0035184373902121566,LXR
478,JAK,0.0035109242551453076,JAK
776,TREM-1,0.003507378004461181,TREM-1
668,GSK3,0.003485253906077982,GSK3
3592,HSP90,0.0034717890750356264,HSP90
572,IDH1,0.0034488701684161267,IDH1
833,H3K27ac,0.003418324493703524,H3K27ac
1274,KMT2A,0.0034001298223683843,KMT2A
1299,ERG,0.0033790855897432724,ERG
106,ABL1,0.0033389751950453845,ABL1
936,HDAC,0.003302370383411569,HDAC
75,STING,0.0032986955883910064,STING
187,Arg1,0.0032759746337997454,Arg1
613,Fas,0.0032757536100124175,Fas
2370,ETO,0.0032599704476091265,ETO
1571,nuclear factor kappa B,0.0032349423386538673,nuclear factor kappa B
88,Toll-like receptor 4,0.0032283973550541467,Toll-like receptor 4
112,p65,0.0031943686320889653,p65
1377,Ras,0.00317722979302743,Ras
981,IDH2,0.0031524928824289912,IDH2
1810,BET,0.0031143854064589562,BET
2009,Toll-like receptor,0.0031136352529053312,Toll-like receptor
977,ACC1,0.0031073626220718066,ACC1
1705,Mcl-1,0.003041823289991643,Mcl-1
910,CSF1,0.0030324982163065888,CSF1
315,FOXP3,0.0030263388417410128,FOXP3
1172,PERK,0.0030161692541431427,PERK
1484,CCL2,0.0029845232218164612,CCL2
1843,HO-1,0.0029805874740018528,HO-1
1910,JNK,0.002968361500300838,JNK
130,PU,0.002968348702099232,PU
645,TET2,0.0029097226152007996,TET2
830,PML,0.002893912420983242,PML
1504,Cre,0.0028611577509023733,Cre
1264,M,0.0028538175447333286,M
162,EZH2,0.002832371274448074,EZH2
179,AF9,0.0027925911924692516,AF9
2772,HDL,0.002783673317979439,HDL
224,TGF,0.0027786842009645,TGF
1310,isocitrate dehydrogenase,0.002730526681817649,isocitrate dehydrogenase
296,CXCL10,0.002713149882128828,CXCL10
32,programmed cell death protein 1,0.002699645331969303,programmed cell death protein 1
1617,tumor necrosis factor,0.002693953792946017,tumor necrosis factor
89,collagen,0.0026780030206925345,collagen
1022,CTLA-4,0.0026648632015059525,CTLA-4
593,eIF4E,0.0026588282919076394,eIF4E
395,succinate dehydrogenase,0.0025955515967546446,succinate dehydrogenase
690,integrins,0.0025499452512379316,integrins
2688,GATA-2,0.002522955999909226,GATA-2
1019,CD14+,0.002482171343494895,CD14+
80,PPAR,0.0024710045683485715,PPAR
689,TCR,0.002467351767451941,TCR
1173,interleukin-4,0.0024671509978516585,interleukin-4
331,Toll-like receptors,0.002460085646472336,Toll-like receptors
992,HK2,0.00243615060238235,HK2
686,CD14(+,0.002432850414273303,CD14(+
2541,MLL fusions,0.002431739958535462,MLL fusions
1633,arginase 1,0.0024061474154218883,arginase 1
1855,VCAM-1,0.0023930039010880357,VCAM-1
483,IRF4,0.002371218966020399,IRF4
180,Glut1,0.002367055907036679,Glut1
1024,FcR,0.0023623376315710523,FcR
1226,Wnt,0.0023526207485443907,Wnt
2752,BRD4,0.0023432728719040966,BRD4
2285,CCL3,0.00232661612707939,CCL3
1732,hexokinase 2,0.002295811292884712,hexokinase 2
4104,SOX2,0.0022388951832951615,SOX2
192,TGF-,0.002229055768309788,TGF-
1823,interferon-gamma,0.0022265418442518215,interferon-gamma
986,COX2,0.0022040826527371738,COX2
312,PARP,0.002196042819728794,PARP
901,CSF-1R,0.002183871038573107,CSF-1R
3603,Ldlr-/-,0.0021216135316178327,Ldlr-/-
3199,ICAM1,0.0020940932996826125,ICAM1
3332,caspase-3,0.00208477356617626,caspase-3
4033,miR-155,0.00208477356617626,miR-155
1775,CD137,0.00208477356617626,CD137
158,interleukin-2,0.0020469331266332463,interleukin-2
857,STAT5,0.002027509296267667,STAT5
34,interleukin-1,0.0020154760763345663,interleukin-1
185,LIF,0.0019723356302157936,LIF
1391,Myd88,0.0019560153233069235,Myd88
309,Gr1,0.001930631124681763,Gr1
332,TLRs,0.001926839543506648,TLRs
3198,TLR2,0.0019255967681850673,TLR2
16,KDM6B,0.0019061846364964922,KDM6B
929,TRAIL,0.0018908526044593274,TRAIL
999,SIRP,0.0018906480980599302,SIRP
1748,hypoxia-inducible factor 1,0.0018868347234635918,hypoxia-inducible factor 1
842,NKG2DL,0.0018698697063386693,NKG2DL
1317,CD39,0.0018656396603098442,CD39
1623,heme oxygenase-1,0.0018490959417033503,heme oxygenase-1
1641,SOCS1,0.0018309041363077266,SOCS1
2622,miR-181b,0.0018305241832707213,miR-181b
624,thrombopoietin,0.0018233599371773965,thrombopoietin
394,HIF1,0.0018125180963621686,HIF1
1408,KLF4,0.0017971896295030955,KLF4
509,FAO,0.0017534578263415693,FAO
4402,ADAR1,0.0017381797019292427,ADAR1
4316,DNA methyltransferase,0.0017380905273428715,DNA methyltransferase
4900,reverse transcriptase,0.0017376654970541507,reverse transcriptase
2087,Mll1,0.0017376654970541507,Mll1
3483,Dnmt1,0.0017376654970541507,Dnmt1
1136,MARCO,0.0017376654970541507,MARCO
912,RUNX3,0.0017362624650319857,RUNX3
739,luciferase reporter,0.0017347550893039776,luciferase reporter
669,IL-15,0.0017104392012936074,IL-15
3967,Bmi1,0.0017082113522745898,Bmi1
2775,Oct4,0.00170301394169937,Oct4
1156,COX-2,0.0017014870722625469,COX-2
835,c-MYC,0.0017013739691262059,c-MYC
1913,JMJD3,0.0017007185472055323,JMJD3
3736,stem cell factor,0.0017004700314345153,stem cell factor
1035,HLA-DR,0.0016845892005093212,HLA-DR
93,BCL-2,0.001678984097481512,BCL-2
2500,immunoglobulin G,0.00163597207765653,immunoglobulin G
957,OVA,0.0016347958372370556,OVA
403,anti-,0.0016253681315517717,anti-
2705,MCL-1,0.0016242519097907475,MCL-1
1301,HOXA9,0.0016087463938965218,HOXA9
1188,EBP,0.0016023855913688087,EBP
916,AMPK,0.0015993639034124452,AMPK
659,LILRB,0.001598768871379621,LILRB
58,LILRB2,0.0015916359093439483,LILRB2
319,NFB,0.0015719486479738047,NFB
1599,myeloid cell leukemia-1,0.0015717215800896865,myeloid cell leukemia-1
783,caspase-1,0.00156421013836409,caspase-1
388,M1,0.0015418394266871816,M1
2445,CD68,0.0015405271831275395,CD68
798,NFATc1,0.0015150884756427454,NFATc1
433,type I IFN,0.0015150479137771974,type I IFN
2699,CD36,0.0015077854932819199,CD36
52,KRAS,0.0014970503067482746,KRAS
95,IFN-I,0.0014592117699762438,IFN-I
655,chimeric antigen receptor,0.0014298669895137898,chimeric antigen receptor
1851,vascular endothelial growth factor,0.0014215718564186653,vascular endothelial growth factor
2388,TLR7,0.0014179050616394341,TLR7
1065,Ly6G,0.0014124256628655647,Ly6G
303,Syk,0.0014028861326652944,Syk
1549,dihydroorotate dehydrogenase,0.0014009622982651437,dihydroorotate dehydrogenase
1736,Cebpa,0.0013904314634321311,Cebpa
4283,gp91phox,0.0013904157511691344,gp91phox
169,WT1,0.0013904157511691344,WT1
1624,HO1,0.0013904157511691344,HO1
872,toll-like receptor,0.0013904157511691344,toll-like receptor
1169,MHC-I,0.0013904157511691344,MHC-I
3292,PcG proteins,0.0013886641151379241,PcG proteins
1409,Klf4,0.0013630644820551577,Klf4
2634,Fc,0.0013610133358184391,Fc
36,PD1,0.0013607729597271956,PD1
2940,MLL-AF9,0.0013485823801359237,MLL-AF9
321,CSF-1,0.0013457323198193716,CSF-1
634,UTX,0.001339944612789324,UTX
213,CD40,0.0013195960948462267,CD40
671,CRISPR,0.0013099437001710228,CRISPR
3219,osteopontin,0.0013093506537879258,osteopontin
2342,FLT3-ITD,0.001306293448770153,FLT3-ITD
653,Lyn,0.0012793786355355299,Lyn
236,CDKN1A,0.001266943170004747,CDKN1A
1000,Interferon,0.0012661327061930256,Interferon
4046,Pax5,0.0012613091963112292,Pax5
214,CCR7,0.0012561747364222252,CCR7
2926,KrasG12D,0.0012479236131252855,KrasG12D
3810,glutaminase,0.0012447141396576414,glutaminase
524,TP53,0.0012364852510485587,TP53
1208,Il6,0.0012357928184087705,Il6
4596,erythropoietin,0.0012355124988805651,erythropoietin
1016,IL1B,0.0012250802831851066,IL1B
963,CSF1R,0.0012223626752462032,CSF1R
933,caspase,0.0012136768300848413,caspase
4570,green fluorescent protein,0.0012127721865776654,green fluorescent protein
1384,CXCL2,0.0012116494954547404,CXCL2
1036,CD80,0.0012031156990140817,CD80
4310,transcription activator-like effector nucleases,0.0011729572520828321,transcription activator-like effector nucleases
450,TAM,0.0011712141059920574,TAM
442,anti-PD-L1,0.0011657491562506773,anti-PD-L1
2470,DNMT1,0.0011628777485468414,DNMT1
603,p38 MAPK,0.0011605784922554183,p38 MAPK
3566,CD107a,0.0011529197801764543,CD107a
878,TAMs,0.0011375092924337542,TAMs
678,Notch1,0.0011374483748039699,Notch1
2361,HIF,0.00113241517115306,HIF
268,MZF1,0.0011289991232647841,MZF1
576,IDH1 mutant,0.0011230052651789722,IDH1 mutant
607,Kras,0.0011187797851633275,Kras
2092,H3K27Ac,0.0011168668606953655,H3K27Ac
3108,BCOR,0.0011140074117050947,BCOR
874,TLR3,0.0011112156544215615,TLR3
1693,GATA2,0.0011027809682405264,GATA2
1575,cyclooxygenase,0.0011026106363224973,cyclooxygenase
1609,AXL,0.0010987526867632848,AXL
362,SF3B1,0.0010946254320286636,SF3B1
1636,arginase,0.001084425528139091,arginase
548,MAFB,0.001082815953238431,MAFB
2682,CD31,0.0010595729339660327,CD31
2707,EVI1,0.0010509822617550196,EVI1
4467,histone H4,0.0010472332226892829,histone H4
24,immunoglobulin,0.0010430243285212114,immunoglobulin
3586,IL-3,0.0010430243285212114,IL-3
2684,Ki67,0.0010430243285212114,Ki67
276,TME,0.0010430243285212114,TME
839,IL1,0.0010430243285212114,IL1
663,TLR7/8,0.0010430243285212114,TLR7/8
2299,CREB,0.0010425483211087708,CREB
1554,OSMR,0.0010421742679437695,OSMR
1552,OSM,0.0010421742679437695,OSM
1752,PGC1,0.0010401070186290802,PGC1
2555,GFP,0.0010330851243262403,GFP
351,low-density lipoprotein,0.0010254134822505901,low-density lipoprotein
441,glyceraldehyde-3-phosphate dehydrogenase,0.001018676293247325,glyceraldehyde-3-phosphate dehydrogenase
4441,Nanog,0.0010131766090531846,Nanog
1959,mammalian target of rapamycin,0.001008656916049868,mammalian target of rapamycin
649,CD30,0.0010009928217723715,CD30
1588,Ly6C,0.0009969619831502533,Ly6C
1757,CCL5,0.000984760365229579,CCL5
133,TF,0.000979397998026203,TF
679,YAP,0.00097836265097755,YAP
54,FAS,0.0009709541000492468,FAS
1940,Myc,0.0009641127877706255,Myc
2729,SIRT1,0.000956218378352041,SIRT1
563,S100A9,0.0009542019432474525,S100A9
1515,Gr1+,0.0009423729954358648,Gr1+
81,sirtuin 1,0.0009406438866984407,sirtuin 1
3065,histones,0.0009309126933877395,histones
3974,Sca1,0.0009203235340200944,Sca1
3786,MDM2,0.000917191012103002,MDM2
934,BCL2,0.0009099774769310894,BCL2
3965,Lmo2,0.0008939177556108251,Lmo2
1177,PSAT1,0.0008728932503051585,PSAT1
290,p300,0.000872234056759682,p300
1057,CAR-T,0.0008654368460791444,CAR-T
5236,NF-E2,0.0008612577386825891,NF-E2
2266,VISTA,0.0008556128872607332,VISTA
1882,NFkB,0.0008488035807800794,NFkB
1867,MCT4,0.0008461914581136333,MCT4
164,H3K27,0.0008270897682225397,H3K27
2123,androgen receptor,0.0008185685510613876,androgen receptor
2124,AR,0.0008185685510613876,AR
1025,anti-CTLA-4,0.0008136390272367945,anti-CTLA-4
2156,actin,0.0008135142140000283,actin
1467,G6PD,0.0008096028651330512,G6PD
1466,glucose-6-phosphate dehydrogenase,0.0008096028651330512,glucose-6-phosphate dehydrogenase
2624,NFI-A,0.0008016304085909034,NFI-A
1246,CXCR4,0.000799496585601499,CXCR4
4891,FOG-1,0.0007953336980107868,FOG-1
272,ErbB2,0.0007867439999065699,ErbB2
1230,LAL,0.00078666150383469,LAL
2530,OPA1,0.0007804156716465985,OPA1
2776,Sox2,0.0007726400754277388,Sox2
1832,Pfkfb3,0.0007719672081954803,Pfkfb3
1180,IRF8,0.0007590444043128529,IRF8
5077,C/EBPalpha,0.0007398276046628169,C/EBPalpha
1463,transketolase,0.0007288131369423766,transketolase
2437,H3K4me1,0.0007247973873098994,H3K4me1
2645,DOT1L,0.0007230083644052191,DOT1L
4147,M1 genes,0.0007181824621067134,M1 genes
2601,CXCL9,0.0007143265025501505,CXCL9
987,NOX2,0.0007058824429558353,NOX2
1702,CD45+,0.0006955620674918347,CD45+
1139,HLA,0.0006954912291103812,HLA
1937,Cre recombinase,0.0006954912291103812,Cre recombinase
2317,EP2,0.0006954912291103812,EP2
2412,MHC-II,0.0006954912291103812,MHC-II
1015,ATF3,0.0006954912291103812,ATF3
2233,VEGFR2,0.0006954912291103812,VEGFR2
2676,ubiquitin,0.0006954912291103812,ubiquitin
1060,CAFs,0.0006954912291103812,CAFs
600,RET,0.0006954912291103812,RET
137,chimeric antigen receptors,0.0006954912291103812,chimeric antigen receptors
491,STAT,0.0006954912291103812,STAT
1258,bevacizumab,0.0006954912291103812,bevacizumab
2221,IGH,0.000685806742684862,IGH
1121,histone 3,0.0006797609894168762,histone 3
294,IgG,0.0006773052774292531,IgG
1784,AP-1 transcription factors,0.0006670924241808428,AP-1 transcription factors
1905,vascular cell adhesion molecule-1,0.0006598747224039049,vascular cell adhesion molecule-1
1064,caspase 3,0.0006578917214041981,caspase 3
2172,CSF,0.0006521015606115819,CSF
2537,6-phosphofructo-2-kinase,0.0006413403038709753,6-phosphofructo-2-kinase
2436,KMT2D,0.0006362681552964037,KMT2D
3064,KDM6A,0.000634436762461189,KDM6A
3161,MHC,0.0006273921342149475,MHC
129,PTEN,0.0006191368010784984,PTEN
873,TRIF,0.0006159437980481438,TRIF
342,ERK5,0.0006139429736478823,ERK5
1237,telomerase,0.0006045851199480421,telomerase
2446,C-MYC,0.0005979129135623587,C-MYC
1052,CD105,0.0005974874521500316,CD105
3181,-catenin,0.0005945327871930039,-catenin
140,CD4(+,0.0005910171372284324,CD4(+
3508,CD4 gene,0.0005770257215022742,CD4 gene
2549,c-myc,0.0005735279295447348,c-myc
562,hypoxia-inducible factor-1,0.0005712318590347223,hypoxia-inducible factor-1
2175,phosphatidylinositol 3-kinase,0.0005702776753975257,phosphatidylinositol 3-kinase
1821,IDO,0.0005682193649414772,IDO
1304,SPI1,0.0005651178707602876,SPI1
357,FAK,0.0005637517187566332,FAK
1845,Foxp3,0.0005619747226734753,Foxp3
782,mammalian target of,0.0005613853742608159,mammalian target of
553,integrin,0.000561038682114964,integrin
3569,transcription,0.0005563077077536844,transcription
2703,BCL-XL,0.0005557274994244913,BCL-XL
1207,anti-PD1,0.0005525366401438094,anti-PD1
302,spleen tyrosine kinase,0.0005520017520652037,spleen tyrosine kinase
453,IL10,0.0005510746666940697,IL10
1357,CD34(+,0.0005444567741724763,CD34(+
1062,B7-H3,0.0005419312175827471,B7-H3
2022,HMGB1,0.000535832464601749,HMGB1
2214,CEBP,0.0005329700649014122,CEBP
4013,mitogen-activated protein kinase,0.0005322257036173741,mitogen-activated protein kinase
2663,Lin,0.0005277108857193697,Lin
3458,Gr-1,0.0005257313562353949,Gr-1
1887,histone methyltransferase,0.0005250209904152049,histone methyltransferase
3535,TrxG,0.0005236896299800766,TrxG
281,Sca-1,0.0005196684441806975,Sca-1
4482,miR-223,0.0005090012993368308,miR-223
2899,SAMHD1,0.0005023437712696072,SAMHD1
2343,PHGDH,0.0005020210172929734,PHGDH
1369,PKC,0.0004980781344877339,PKC
2782,PRC2,0.0004961255703407408,PRC2
1335,CD8(+) T,0.0004956972499394135,CD8(+) T
2955,nuclear factor-B,0.0004947679691787917,nuclear factor-B
781,phosphoinositide 3-kinase,0.0004898379313460909,phosphoinositide 3-kinase
573,complex I,0.0004885858622379949,complex I
1929,PDH,0.0004874762274021982,PDH
1767,nuclear factor B,0.0004869533320351592,nuclear factor B
1321,MCU,0.00047972544376306847,MCU
3576,OCT4,0.00047601526986072235,OCT4
74,stimulator of interferon genes,0.0004734872868694992,stimulator of interferon genes
2453,Tmem119,0.0004632830147058947,Tmem119
2454,P2ry12,0.0004632830147058947,P2ry12
2452,Fcrls,0.0004632830147058947,Fcrls
4614,miR-34a,0.00046046076128607654,miR-34a
2253,TCF1,0.00045183588742564234,TCF1
2826,GATA1,0.0004469960040843112,GATA1
535,programmed death-ligand 1,0.00044641555541075366,programmed death-ligand 1
1435,granzyme B,0.00044361521051452114,granzyme B
250,pyruvate kinase M2,0.0004380516641823595,pyruvate kinase M2
4434,macrophage CSF,0.0004352570946497014,macrophage CSF
1546,HER2,0.00043511941268556707,HER2
347,AHR,0.00042725603917691924,AHR
348,aryl hydrocarbon receptor,0.00042725603917691924,aryl hydrocarbon receptor
940,caspase 8,0.0004207010532872424,caspase 8
196,CCR2,0.0004161520201550013,CCR2
1050,LAG3,0.0004146936898512232,LAG3
2791,NR4A1,0.000409600363525259,NR4A1
2793,NR4As,0.000409600363525259,NR4As
2792,NR4A,0.000409600363525259,NR4A
2439,IGF1R,0.00040942285769807684,IGF1R
1396,CD14(+),0.00040919998009495963,CD14(+)
2664,c-Kit,0.00040826029643722223,c-Kit
1294,ERK1/2,0.0004025132556495299,ERK1/2
4803,hematopoietic growth factor,0.00039976656874814853,hematopoietic growth factor
1971,CBP,0.00039816928111016176,CBP
1650,Ph,0.000397219102385243,Ph
4449,p53(-/-),0.0003955415469451714,p53(-/-)
844,interferon gamma,0.0003937515131784764,interferon gamma
1737,C/EBPa,0.00039312906684373024,C/EBPa
711,NR4A2,0.00038757949738920007,NR4A2
2309,arginase-1,0.00038482795465941084,arginase-1
295,CXCR3,0.0003835553724463179,CXCR3
1943,HIFs,0.00038302089610955736,HIFs
1332,HCK,0.0003829217312017803,HCK
477,IL6,0.00038221661217337666,IL6
1431,CXCR2,0.00038209497222943273,CXCR2
978,mutant IDH1,0.0003815698344580077,mutant IDH1
1911,M2,0.00038053063258799714,M2
1664,Histone,0.0003704440895283736,Histone
2459,CD20,0.0003674887201077962,CD20
2869,PS1,0.0003670647365857638,PS1
3505,NOTCH,0.00036582506043997764,NOTCH
255,TLR9,0.00036424280757535584,TLR9
1265,HIF-2,0.0003601816381339165,HIF-2
2686,CCL7,0.00035835969297854997,CCL7
1124,IL-,0.00035768935913330367,IL-
2302,E2A,0.00035723556214537844,E2A
141,CD4(+),0.00035235222773907397,CD4(+)
44,luciferase,0.0003515242922790062,luciferase
56,ILT4,0.00034886107874917076,ILT4
3005,DNA methyltransferase 1,0.00034781645293664406,DNA methyltransferase 1
2830,granulocyte-colony stimulating factor,0.00034781645293664406,granulocyte-colony stimulating factor
2193,Ikaros,0.00034781645293664406,Ikaros
971,Anti-CTLA-4 antibodies,0.00034781645293664406,Anti-CTLA-4 antibodies
326,colony-stimulating factor 1 receptor,0.00034781645293664406,colony-stimulating factor 1 receptor
1986,GAMs,0.00034781645293664406,GAMs
279,CD8 +,0.00034781645293664406,CD8 +
284,NPM1,0.00034708290282588775,NPM1
827,CXCL5,0.00034639656725201615,CXCL5
2271,leptin,0.00034466570974596027,leptin
1627,transcription factor EB,0.0003424836065117968,transcription factor EB
1626,TFEB,0.0003424836065117968,TFEB
1836,Nos2,0.00034134565515256973,Nos2
273,EGFR,0.0003358385803504864,EGFR
1962,monocarboxylate transporter 4,0.0003321573773868117,monocarboxylate transporter 4
2612,Mac-1,0.00033065443549292736,Mac-1
3809,IDH1 mutation,0.00032953682958509665,IDH1 mutation
960,IL-6high,0.00032308069083497457,IL-6high
480,anti-CTLA4,0.0003229737938312382,anti-CTLA4
523,Cxcl1,0.00032118574080603656,Cxcl1
4942,GATA,0.0003196057545030299,GATA
3310,chemokine,0.00031925064855088745,chemokine
4804,GF,0.0003159437282647078,GF
2402,AMP-activated protein kinase,0.00031437062115066423,AMP-activated protein kinase
2344,FLT3-,0.0003127601547967035,FLT3-
2528,IL-1R,0.00031050092743743144,IL-1R
1307,VE-cadherin,0.00030791779631254965,VE-cadherin
849,PSGL-1,0.0003024809154652936,PSGL-1
3220,OPN,0.0002991517458237842,OPN
3462,HDACi,0.00029914936509495955,HDACi
983,XBP1,0.0002967914575490507,XBP1
632,histone demethylase,0.00029343650568834537,histone demethylase
4901,lin,0.0002884281072250299,lin
967,CCL4,0.00028626762526749787,CCL4
841,NKG2D,0.0002857312247879606,NKG2D
858,RAS,0.00028520143274708346,RAS
2781,PRC1,0.00028435378155421576,PRC1
3866,Irf8,0.0002809542110882807,Irf8
49,KRAS(G12D),0.0002797486681279758,KRAS(G12D)
683,Notch ligand,0.00027885378297654777,Notch ligand
314,CD25,0.0002759313668102361,CD25
1233,programmed cell death ligand 1,0.0002748319198436195,programmed cell death ligand 1
1835,interleukin 6,0.0002734122819683002,interleukin 6
997,p21,0.00027194380802139954,p21
2358,hexokinase,0.0002668841263762587,hexokinase
3662,protein tyrosine phosphatase,0.00026308421239989673,protein tyrosine phosphatase
1263,PFKFB3,0.0002630784352933376,PFKFB3
3104,H3,0.00026249791677108916,H3
1206,CAF,0.0002599045850710215,CAF
1501,IRAK4,0.00025285345882310385,IRAK4
4413,interleukin-10,0.00025189918662544587,interleukin-10
631,histone methyltransferases,0.00025139470732760415,histone methyltransferases
616,RANKL,0.00025106507149130053,RANKL
733,MMP-9,0.0002493684097614581,MMP-9
1202,PKT,0.0002481749622785319,PKT
894,Spp1,0.00024764234918752857,Spp1
4196,hemoglobin,0.00024370199344852625,hemoglobin
1182,XCR1,0.00024327541306875088,XCR1
965,transcription factors,0.00024255620616228264,transcription factors
3833,CD73,0.0002403346500526873,CD73
1856,IL-33,0.0002399817716104781,IL-33
1706,Bcl-xL,0.00023706641715773896,Bcl-xL
1638,granulocyte colony-stimulating factor,0.0002330995819546306,granulocyte colony-stimulating factor
2419,CD25+,0.0002322281336780758,CD25+
1447,CDK4,0.00022913746241124457,CDK4
1548,Lcn2,0.00022717581113923925,Lcn2
1232,CD11c,0.00022514474641377352,CD11c
2564,histone 3 lysine 4,0.0002244737867001741,histone 3 lysine 4
3761,glucose transporter 1,0.00022334522953113258,glucose transporter 1
413,IL-34,0.00022150937401619846,IL-34
1854,vascular cell adhesion molecule 1,0.00022008172018741915,vascular cell adhesion molecule 1
1750,estrogen-related receptor,0.00021856992860261885,estrogen-related receptor
71,programmed cell death protein-1,0.00021809356741107607,programmed cell death protein-1
1295,NF-kB,0.00021793592021292267,NF-kB
4103,OCT3/4,0.00021525110164834644,OCT3/4
2118,Nrf2,0.00021342369630497762,Nrf2
1010,PLA2G4A,0.00021211799919555545,PLA2G4A
